Reference No.,Citation
127,"Lieutier, F., Jastrabsky, M., & Bonnafe, P. (1982). Les variations pondérales du tissu adipeux et des ovaires, et les variations de longueur des ovocytes, chez Ips sexdentatus Boern (Coleoptera: Scolytidae); relations avec le parasitisme par les nématodes. Annales de Parasitologie Humaine et Comparée, 57(4), 407-418."
128,"Lipa J.J. 1968. Stempellia scolyti Weiser com.nov. and Nosema scolyti n.sp. microsporidian parasites of four species of Scolytus (Coleoptera). Acta Protozoologica 6, 69-78."
129,"Liu, J., Jiang, N., Gao, H., Lai, S., Zhou, Y., Hao, D., & Dai, L. (2025). Laboratory exploration of several potential biocontrol methods against the Ambrosia beetle, Euwallacea interjectus. Insects, 16(1), 56."
130,"Lukášová, K., & Holuša, J. (2015). Comparison of pathogens infection level in Ips typographus (Coleoptera: Curculionidae) beetles sampled in pheromone traps and at place of overwintering. Acta Parasitologica, 60(3), 462-465."
131,"Lukášová, K., Holuša, J., & Turčáni, M. (2013). Pathogens of Ips amitinus: new species and comparison with I ps typographus. Journal of Applied Entomology, 137(3), 188-196."
132,"Lutyk P. & H. Swiezynska 1984. Trials to control the larger pine-shoot beetle (Tomicus piniperda L.) with the use of the fungus Beauveria bassiana (Bals.) Vuill. on piled wood. Sylwan, 9, 41-45."
133,"Lysenko, O. (1959). Report on diagnosis of bacteria isolated from insects (1954–1958). Entomophaga, 4(1), 15-22."
134,"MacGuidwin, A. E., Smart Jr, G. C., Wilkinson, R. C., & Allen, G. E. (1980). Effect of the nematode Contortylenchus brevicomi on gallery construction and fecundity of the southern pine beetle. Journal of nematology, 12(4), 278."
135,"Magema N., C. Verstraeten & C. Gaspar 1981. Les ennemis naturels du scolyte Trypodendron lineatum (Olivier, 1795) (Coleopetra, Scolytidae) dans la forest de Hazeilles et des Epioux. Annales de la Societe Royale Zoologique de Belgique 111, 89-95."
136,"Mann, A. J., & Davis, T. S. (2020). Plant secondary metabolites and low temperature are the major limiting factors for Beauveria bassiana (Bals.-Criv.) Vuill.(Ascomycota: Hypocreales) growth and virulence in a bark beetle system. Biological Control, 141, 104130."
137,"Markova, G. (2000). Pathogenicity of several entomogenous fungi to some of the most serious forest insect pests in Europe."
138,"Massey, C. L. (1956). Nematode parasites and associates of the Engelmann spruce beetle (Dendroctonus engelmanni Hopk.)."
139,"Massey, C. L. (1957). Four new species of Alphelenchulus (Nematoda) parasitic in bark beetles in the United States."
140,"Massey, C. L. (1960). Nematode parasites and associates of the California five-spined engraver, Ips confusus (Lec.)."
141,"Massey, C. L. (1966). The nematode parasites and associates of Dendroctonus adjunctus (Coleoptera: Scolytidae) in New Mexico. Annals of the Entomological Society of America, 59(3), 424-440."
142,"Massey, C. L. (1974). Biology and taxonomy of nematode parasites and associates of bark beetles in the United States (No. 446). Forest Service, US Department of Agriculture."
143,"Massey, C.L., 1964a. The nematode parasites and associates of the fir engraver beetle, Scolytus ventralis Le Conte, in New Mexico. J. Insect Pathol. 6, 133–155."
144,"Massey, C.L., 1964b. Two new species of the nematode genus Ektaphelenchus (Nematoda: Aphelenchoididae) parasites of bark beetles in the south-western United States. Proc. Helminthol. Soc. Wash. 31, 37–40."
145,"Massey, C.L., 1969. New species of tylenchs associated with bark beetles in New Mexico and Colorado. Proc. Helminthol. Soc. Wash. 64, 43–52."
146,"Matha V. & J. Weiser 1985. Effect of the fungus Beauveria bassiana on adult bark beetles Ips typographus. Conference Biological and Biotechnical Control of Forest Pests, Tabor (CSFR)."
147,"Michalková, V., Krascsenitsová, E., & Kozánek, M. (2012). On the pathogens of the spruce bark beetle Ips typographus (Coleoptera: Scolytinae) in the Western Carpathians. Biologia, 67(1), 217-221."
148,"Milosavljević, M., Tabaković-Tošić, M., Radulović, Z., Marković, M., & Rindoš, M. (2021). Isolation, identification and phylogenetic position of entomopathogenic fungus Beauveria bassiana from Ips typographus in Serbia. Fresenius Environ. Bull, 30, 9443-9448."
149,"Milosavljević, M., Tabaković-Tošić, M., Stajić, S., Mitrović, S., Radulović, Z., Poduška, Z., & Gavrilović, B. (2026). Biocontrol Potential of Indigenous Beauveria bassiana Strain Against Ips typographus from Tara National Park Under Varying Temperature Regimes. Šumarski list, 150(5-6), 219-227."
150,"Monzón, A., Klingen, I., Guharay, F., & Papierok, B. (2007). Naturally occurring Beauveria bassiana in Hypothenemus hampei populations in unsprayed coffee fields. IOBC WPRS BULLETIN, 30(1), 131."
151,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
152,"Moore G.E. 1972. Microflora from the Alimentary Tract of Healthy Southern Pine Beetles, Dendroctonus frontalis (Scolytidae), and Their Possible Relationship to Pathogenicity. Journal of Invertebrate Pathology 19, 72-75."
153,"Moore, G. E. (1970). Isolating entomogenous fungi and bacteria, and tests of fungal isolates against the southern pine beetle."
154,"Moore, G. E. (1973). Pathogenicity of three entomogenous fungi to the southern pine beetle at various temperatures and humidities. Environmental Entomology, 2(1), 54-57."
155,"Moore, G.E., 1972. Pathogenicity of ten strains of bacteria to larvae of the southern pine beetle. J. Invertebr. Pathol. 20, 41–45."
156,"Mudrončeková, S., Mazáň, M., & Nemčovič, M. (2013). Entomopathogenic fungus species Beauveria bassiana (Bals.) and Metarhizium anisopliae (Metsch.) used as mycoinsecticide effective in biological control of Ips typographus (L.). Journal of Microbiology, Biotechnology and Food Sciences, 2(6), 2469-2472."
157,"Muratoǧlu, H., Sezen, K., & Demirbaǧ, Z. (2011). Determination and pathogenicity of the bacterial flora associated with the spruce bark beetle, Ips typographus (L.)(Coleoptera: Curculionidae: Scolytinae). Turkish Journal of Biology, 35(1), 9-20."
158,"Natali, V., Paparatti, B., & Canganella, F. (1994). Microorganisms carried by Xyleborus dispar (F.)(Coleoptera, Scolytidae) females, collected on European hazel trees in the area surrounding the lake of Vico (Viterbo, central Italy)."
159,"Nel, W. J., Slippers, B., Wingfield, M. J., Yilmaz, N., & Hurley, B. P. (2023). Efficacy of commercially available entomopathogenic agents against the polyphagous shot hole borer in South Africa. Insects, 14(4), 361."
160,"Nickle, W. R. (1963). Observations on the effect of nematodes on Ips confusus (LeConte) and other bark beetles."
161,"Nickle, W. R. (1971). Behavior of the shothole borer, Scolytus rugulosus, altered by the nematode parasite Neoparasitylenchus rugulosi. Annals of the Entomological Society of America, 64(3), 751-751."
162,"Novotny J. & M. Turcani 2000. The results of experimental treatment of biopreparation on the basis of Bacillus thuringiensis var. tenebrionis Berl. for control of Ips typographus L. (Col., Scolytidae). Lesnicky casopis (Forestry Journal) 46, 303-10."
163,"Nuorteva M. & M. Salonen 1968. Versuche mit Beauveria bassiana (Bals.) Vuill. gegen Blastophagus piniperda L. (Col., Scolytidae). Annales Entomologici Fennici 34, 49-55."
164,"Odabas Alver, D., & Ertürk, Ö. (2018). Effects of four soil-originated Bacillus spp. on the great spruce bark beetle, Dendroctonus micans (Kugelann)(Coleoptera: Curculionidae, Scolytinae). Egyptian Journal of Biological Pest Control, 28(1), 70."
165,"Olatinwo, R., Walters, S., & Strom, B. (2018). Impact of Beauveria bassiana (Ascomycota: Hypocreales) on the Small Southern Pine Engraver (Coleoptera: Scolytidae) in a Loblolly Pine Bolt Assay1. Journal of Entomological Science, 53(2), 180-191."
166,"Pabst, G. S., & Sikorowski, P. P. (1981). Susceptibility of southern pine beetle (Dendroctonus frontalis) on oligidic medium to Paecilomyces viridis and also Beauveria bassiana, and Metarhizium anisopliae."
167,Pathogenicity and Sustainable Control Ｒole of Beauveria bassiana on Bark Beetles
168,Pathogenicity of Metaarhizium anisopliae Strains against Blastophagum spp.
169,"Pavlov, I. N., Litovka, Y. A., Golubev, D. V., Astapenko, S. A., Chromogin, P. V., Usoltseva, Y. V., ... & Petrenko, S. M. (2020). Mass reproduction of Polygraphus proximus Blandford in fir forests of Siberia infected with root and stem pathogens: monitoring, patterns, and biological control. Contemporary Problems of Ecology, 13(1), 71-84."
170,"Pavlov, I. N., Vasaitis, R., Litovka, Y. A., Timofeev, A. A., & Menkis, A. (2023). Infestation by Ips amitinus (Eichhoff, 1872), its associated fungi, and butt rots in stands of Pinus sibirica in South-Western Siberia. Forests, 14(12), 2383."
171,"Pernek, M. (2007). Influence of the entomopathogenic fungi Beauveria bassiana on the mortality of fir bark beetles Pityokteines spinidens and Pityokteines curvidens. Radovi, 42(2), 143-153."
172,"Pernek, M., Matošević, D., Hrašovec, B., Kučinić, M., & Wegensteiner, R. (2009). Occurrence of pathogens in outbreak populations of Pityokteines spp.(Coleoptera, Curculionidae, Scolytinae) in silver fir forests. Journal of Pest Science, 82(4), 343-349."
173,"Pesson P., C. Toumonoff & C. Chararas 1955. Étude des epizooties bactériennes observées dans les élevages d’insectes xylophages. Annales Épiphyties 6, 315-28."
174,"Petch, T., 1932. A list of the entomogenous fungi of Great Britain. T. Brit. Mycol. Soc. 17, 170–178."
175,"Pilarska, D., Georgiev, G., Dobreva, M., Takov, D., Mirchev, P., Doychev, D., ... & Hajek, A. E. (2018). Pathogens and parasitoids of forest pest insects in the region of Forest Protection Station Plovdiv during the period 1990–2017. Silva, 19, 3."
176,"Prazak R. 1988. Die Wirkung des insektenpathogenen Pilzes Beauveria bassiana (Bals.) Vuill. auf den Gestreiften Nutzholzborkenkäfer Trypodendron lineatum Oliv. (Coleoptera: Scolytidae). PhD thesis, Universität für Bodenkultur Wien."
177,"Prazak R. 1991. Studies on indirect infection of Trypodendron lineatum Oliv. with Beauveria bassiana (Bals.) Vuill. Journal of Applied Entomology 111, 431-41."
178,"Prazak R. 1997. Laboratory evaluation of Beauveria bassiana (Bals.) Vuill. (Deuteromycotina: Hyphomycetes) against Trypodendron lineatum Oliv. (Coleopetra: Scolytidae). Journal of Plant Diseases and Protection 104, 459-65."
179,Pultar O. & J. Weiser 1999. Infection of Ips typographus with entomopoxvirus in the forest. Poster at 7th IOBC/wprs meeting in Vienna.
180,"Purrini K. & E. Führer 1979. Experimentelle Infektion von Pityogenes chalcographus L. (Col.: Scolytidae) durch Malamoeba scolyti Purrini (Amoebina, Amoebidae) und Menzbieria chalcographi Weiser (Neogregarina, Ophryocystidae). Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 52, 167-73."
181,"Purrini K. & J. Halperin 1982. Nosema calcarati n.sp. (Microsporidia), a new parasite of Pityogenes calcaratus Eichhoff (Col., Scolytidae). Zeitschrift für angewandte Entomologie 94, 87-92."
182,"Purrini K. & J. Weiser 1984. Light- and electron microscopic studies of Chytridiopsis typographi (Weiser 1954) Weiser 1970 (Microspora), parasitizing the bark beetle Hylastes cunicularius Er. Zoologischer Anzeiger, Jena 212, 369-76."
183,"Purrini K. & J. Weiser 1985. Ultrastructural study of the microsporidian Chytridiopsis typographi (Chytridiopsida: Microspora) infecting the bark beetle Ips typographus (Scolytidae: Coleoptera), with new data on spore dimorphism. Journal of Invertebrate Pathology 45, 66-74."
184,"Purrini K. & R. Ormieres 1981. On three new sporozoan parasites of bark beetles (Scolytidae, Coleoptera). Zeitschrift für angewandte Entomologie 91, 67-74."
185,"Purrini K. & Z. Zizka 1983. More on the life cycle of Malamoeba scolyti (Amoebidae: Sarcomastigophora) parasitizing the bark beetle Dryocoetes autographus (Scolytidae, Coleoptera). Journal of Invertebrate Pathology 42, 96-105."
186,"Purrini K. 1975. Zur Kenntnis der Krankheiten des Großen Ulmensplintkäfers, Scolytus scolytus F. im Gebiet von Kosovo, Jugoslawien. Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 48, 154-56."
187,"Purrini K. 1977. Über eine neue Schizogregarinen-Krankheit der Gattung Mattesia Naville (Sporozoa, Dischizae) des Zottigen Fichtenborkenkäfers, Dryocoetes autographus Ratz (Coleoptera, Scolytidae). Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 50, 132-35."
188,"Purrini K. 1978. Protozoen als Krankheitserreger bei einigen Borkenkäferarten (Col., Scolytidae) im Königsee-Gebiet, Oberbayern. Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 51, 171-75."
189,"Purrini K. 1978. Über Malamoeba locustae King and Taylor (Protozoa, Rhizopoda, Amoebidae) beim Zottigen Fichtenborkenkäfer, Dryocoetes autographus Ratz (Col.: Scolytidae). Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 51, 139-41."
190,"Purrini, K. (1980). Malamoeba scolyti sp. n.(Amoebidae, Rhizopoda, Protozoa) parasitizing the bark beetles, Dryocoetes autographus Ratz., and Hylurgops palliatus Gyll.(Scolytidae, Coleoptera). Archiv für Protistenkunde, 123(3), 358-366."
191,"Reay, S. D., Brownbridge, M., Cummings, N. J., Nelson, T. L., Souffre, B., Lignon, C., & Glare, T. R. (2008). Isolation and characterization of Beauveria spp. associated with exotic bark beetles in New Zealand Pinus radiata plantation forests. Biological Control, 46(3), 484-494."
192,"Reay, S. D., Brownbridge, M., Gicquel, B., Cummings, N. J., & Nelson, T. L. (2010). Isolation and characterization of endophytic Beauveria spp.(Ascomycota: Hypocreales) from Pinus radiata in New Zealand forests. Biological Control, 54(1), 52-60."
193,"Rehner, S. A., Posada, F., Buckley, E. P., Infante, F., Castillo, A., & Vega, F. E. (2006). Phylogenetic origins of African and Neotropical Beauveria bassiana sl pathogens of the coffee berry borer, Hypothenemus hampei. Journal of invertebrate pathology, 93(1), 11-21."
194,Research on using Beauveria bassiana to control Dendroctonus valens
195,"Reynoso-López, E. A., Méndez-Hernández, J. E., Ek-Ramos, J., Montesinos-Matías, R., & Loera, O. (2021). Metarhizium robertsii in combination with Trichoderma asperellum reduce the malathion doses used to control ambrosia beetles: the case of Xyleborus affinis. Biocontrol Science and Technology, 31(10), 1080-1097."
196,"Rosana, A. R. R., Pokorny, S., Klutsch, J. G., Ibarra-Romero, C., Sanichar, R., Engelhardt, D., ... & Vederas, J. C. (2021). Selection of entomopathogenic fungus Beauveria bassiana (Deuteromycotina: Hyphomycetes) for the biocontrol of Dendroctonus ponderosae (Coleoptera: Curculionidae, Scolytinae) in Western Canada. Applied Microbiology and Biotechnology, 105(6), 2541-2557."
197,Scanning electron microscopy and pathogenicity of Beauveria bassiana infection with Hylurgus ligniperda
198,"Schebeck, M., Wrzosek, M., Clausi, M., Tarasco, E., Tkaczuk, C., & Wegensteiner, R. (2016). First record of Beauveria bassiana on Tomicus minor in Sicily."
199,Screening of highly virulent strains of fungi entomopathogenic to Scolytus schevyrewi Semenov
200,"Sevim, A., Demir, I., Tanyeli, E., & Demirbağ, Z. (2010). Screening of entomopathogenic fungi against the European spruce bark beetle, Dendroctonus micans (Coleoptera: Scolytidae). Biocontrol Science and Technology, 20(1), 3-11."
201,"Sikorowski P.P., A.M. Lawrence, T.E. Nebeker & T.S. Price 1996. Virus and Virus-like Particles Found in Southern Pine Beetle Adults in Mississippi and Georgia. Mississippi Agricultural & Forestry Experiment Station Technical Bulletin 212, 1-9."
202,"Silva, X., Terhonen, E., Sun, H., Kasanen, R., Heliövaara, K., Jalkanen, R., & Asiegbu, F. O. (2015). Comparative analyses of fungal biota carried by the pine shoot beetle (Tomicus piniperda L.) in northern and southern Finland. Scandinavian Journal of Forest Research, 30(6), 497-506."
203,"Slankis, A. (1967). Contortylenchus cylindricus n. sp. and Contortylenchus rarus n. sp.(Tylenchida: Contortylenchidae) parasitic in bark beetles and taxonomic notes on the genus Contortylenchus Ruhm 1956."
204,"Slankis, A. (1969). A new species of endoparasitic nematode, Contortylenchus pseudodiplogaster n. sp. from the bark beetle, Ips sexdentatus."
205,"Srei, N., Lavallée, R., & Guertin, C. (2017). Susceptibility of Dendroctonus simplex to Hypocreales fungi: towards the development of a biological control strategy. Journal of Applied Entomology, 141(6), 487-495."
206,"Steinwender, B. M., Krenn, H. W., & Wegensteiner, R. (2010). Different effects of the insectpathogenic fungus Beauveria bassiana (Deuteromycota) on the bark beetle Ips sexdentatus (Coleoptera: Curculionidae) and on its predator Thanasimus formicarius (Coleoptera: Cleridae). Journal of Plant Diseases and Protection, 117(1), 33-38."
207,Study on the biological control of Steinernema feltiae against Hylurgus ligniperda on the entry log
208,"Sutela, S., Siitonen, J., Ylioja, T., & Vainio, E. J. (2024). Viral diversity in the European spruce bark beetle Ips typographus as revealed through high-throughput sequencing. Crop Protection, 181, 106706."
209,"Tabakovic-Tošic, M., & Milosavljevic, M. (2023). Biological efficacy of the entomopathogenic fungus Beauveria bassiana for controlling the European spruce bark beetle Ips typographus (Coleoptera: Curculionidae) in semi-controlled laboratory conditions."
210,"Takov, D. I., Doychev, D. D., Linde, A., Atanasova Draganova, S., & Kirilova Pilarska, D. (2012). Pathogens of bark beetles (Curculionidae: Scolytinae) and other beetles in Bulgaria. Biologia, 67(5), 966-972."
211,"Takov, D., & Pilarska, D. (2008). Prevalence of Gregarina typographi Fuchs (Apicomplexa: Gregarinidae) and nematodes (Nematoda) in bark beetles (Coleoptera: Scolytinae) from Bulgaria depending on the host gender. Acta zoologica bulgarica, 60(3), 227-232."
212,"Takov, D., & Pilarska, D. (2009). Single and mixed infections in Ips typographus (Coleoptera: Scolytinae) caused by the entomopathogens Entomopoxvirus typographi (Virales), Gregarina typographi (Sporozoa) and Chytridiopsis typographi (Microsporidia). Acta Zool Bulg, 61(1), 45-48."
213,"Takov, D., Doychev, D., Linde, A., Draganova, S., Pilarska, D., 2011. Pathogens of bark beetles (Coleoptera: Curculionidae) in Bulgarian forests. Phytoparasitica 39, 343–352."
214,"Takov, D., Doychev, D., Wegensteiner, R., Pilarska, D., 2007. Study of bark beetle (Coleoptera, Scolytidae) pathogens from coniferous stands in Bulgaria. Acta Zool. Bulg. 59, 87–96."
215,"Takov, D., Pilarska, D., & Wegensteiner, R. (2006). Entomopathogens in Ips typographus (Coleoptera: Scolytidae) from several spruce stands in Bulgaria. Acta zoologica bulgarica, 58(3), 409-420."
216,"Tang X. & M. Fan 1990. Study on DNA and polypeptides of a smallpox virus in Dendroctonus armandi Tsai et Li. Microbiology of Insects Beijing 17, 258-61."
217,"Tanyeli, E., Sevim, A., Demirbag, Z., Eroglu, M., & Demir, I. (2010). Isolation and virulence of entomopathogenic fungi against the great spruce bark beetle, Dendroctonus micans (Kugelann)(Coleoptera: Scolytidae). Biocontrol Science and Technology, 20(7), 695-701."
218,"Thong, C. H., & Webster, J. M. (1972). A Redescription of the bark beetle nematode Contortylenchus brevicomi: Synonym Contortylenchus barberus (Nematoda: Sphaerulariidae). Journal of nematology, 4(3), 213."
219,"Thong, C. H., & Webster, J. M. (1975). Effects of the bark beetle nematode, Contortylenchus reversus, on gallery construction, fecundity, and egg viability of the Douglas fir beetle, Dendroctonus pseudotsugae (Coleoptera: Scolytidae). Journal of Invertebrate Pathology, 26(2), 235-238."
220,"Thong, C. H., & Webster, J. M. (1983). Nematode parasites and associates of Dendroctonus spp. and Trypodendron lineatum (Coleoptera: Scolytidae), with a description of Bursaphelenchus varicauda n. sp. Journal of Nematology, 15(2), 312."
221,"Thorne, G. (1935). Nemic parasites and associates of the mountain pine beetle (Dendroctonus monticolae) in Utah. J. Agric. Res. 51, 131–144."
222,"Toksöz, S., Oksal, E., Saruhan, I., & Kepenekci, I. (2018). Pathogenicity of the entomopathogenic fungus, Purpureocillium lilacinum TR1 against ambrosia beetles, Xylosandrus germanus (Blandford) and Xyleborus dispar (Fabricius)(Coleoptera: Curculionidae: Scolytinae). Mun. Ent. Zool, 13(2), 471-481."
223,"Tomalak M., H.E. Welch & T.D. Galloway 1988. Interaction of Parasitic Nematode Parasitaphelenchus oldhami (Nematoda: Aphelenchoididae) and a Bacterium in Dutch Elm Disease Vector, Hylurgopinus rufipes (Coleoptera: Scolytidae). Journal of Invertebrate Pathology 52, 301-08."
224,"Tonka, T., Pultar, O., & Weiser, J. (2007). Survival of the spruce bark beetle, Ips typographus, infected with pathogens or parasites. IOBC WPRS BULLETIN, 30(1), 211-215."
225,"Tonka, T., Weiser Jr, J., & Weiser, J. (2010). Budding: a new stage in the development of Chytridiopsis typographi (Zygomycetes: Microsporidia). Journal of invertebrate pathology, 104(1), 17-22."
226,"Tonka, T., Weiser, J., & Pultar, O. (2009). Entomopoxvirus in the spruce bark beetle, Ips typograhus and its laboratory management. IUFRO WG, 7(10)."
227,Toxicity of Beauveria bassiana strains against Hypothenemus hampei
228,Toxicity test of several strains of Beauveria bassiana against Tomicus piniperda
229,"Tuncer, C., Kushiyev, R., Erper, I., Ozdemir, I. O., & Saruhan, I. (2019). Efficacy of native isolates of Metarhizium anisopliae and Beauveria bassiana against the invasive ambrosia beetle, Xylosandrus germanus Blandford (Coleoptera: Curculionidae: Scolytinae). Egyptian Journal of Biological Pest Control, 29(1), 28."
230,"Unal, S., Yaman, M., Tosun, O., & Aydin, C. (2009). Occurrence of Gregarina typographi (Apicomplexa, Gregarinidae) and Metschnikowia typographi (Ascomycota, Metschnikowiaceae) in Ips sexdentatus (Coleoptera: Curculionidae, Scolytinae) populations in Kastamonu (Turkey)."
231,"Vakula, J., Nikolov, C., Lalik, M., Horakova, M. K., Rell, S., Galko, J., ... & Barta, M. (2025). Selection, application, and pathogenicity of naturally occurring Beauveria bassiana strains against Ips duplicatus (Coleoptera: Curculionidae, Scolytinae). Biological Control, 204, 105740."
232,"Vanická, H., Lukášová, K., & Holuša, J. (2016). Infection levels of pathogens in the European spruce bark beetle Ips typographus (Coleoptera: Curculionidae) at managed and unmanaged forest locations: a meta-data analysis. Central European Forestry Journal, 62(4), 216-222."
233,Virulence of Metarhizium anisopliae to Xyleborus aquilus Blendford in laboratory
234,"Wegensteiner R. & J. Weiser 1995. A new Entomopoxvirus in the bark beetle Ips typographus (Coleoptera: Scolytidae). Journal of Invertebrate Pathology 65, 203-05."
235,"Wegensteiner R. & J. Weiser 1996a. Untersuchungen zum Auftreten von Pathogenen bei Ips typographus (Coleoptera, Scolytidae) aus einem Naturschutzgebiet im Schwarzwald (Baden-Württemberg). Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 69, 162-67."
236,"Wegensteiner R. & J. Weiser 1996b. Occurrence of Chytridiopsis typographi (Microspora, Chytridiopsida) in Ips typographus L. (Coleoptera, Scolytidae) field populations and in a laboratory stock. Journal of Applied Entomology 120, 595-602."
237,"Wegensteiner R. & J. Weiser 1998. Infection of Ips typographus from Finland with the Ascomycete Metschnikowia cf. bicuspidata. Poster, 6th European Congress of Entomology, Ceske Budejovice, CR, 23.-29.08.1998, Abstracts vol. 2, 667."
238,"Wegensteiner R. 1992. Untersuchungen zur Wirkung von Beauveria-Arten auf Ips typographus (Coleoptera, Scolytidae). Mitteilungen der Deutschen Gesellschaft für allgemeine und angewandte Entomologie 8, 104-06."
239,"Wegensteiner R. 1994. Chytridiopsis typographi (Protozoa, Microsporidia) and other pathogens in Ips typographus (Coleoptera, Scolytidae). IOBC/wprs Bulletin Vol. 17 (3), 39-42."
240,"Wegensteiner R. 1996. Laboratory evaluation of Beauveria bassiana (Bals.) Vuill. against Ips typographus (Coleoptera, Scolytidae). IOBC/wprs -Bulletin 19 (9), 186-89."
241,"Wegensteiner R., J. Weiser & E. Führer 1996. Observations on the occurrence of pathogens in the bark beetle Ips typographus L. (Coleoptera, Scolytidae). Journal of Applied Entomology 120, 199-204."
242,"Wegensteiner, R., & Weiser, J. (2009). Geographische Verbreitung und Häufigkeit von Pathogenen im Fichtenborkenkäfer Ips typogra phus L.(Coleoptera, Curculionidae) in Europa. Mitt. Dtsch. Ges. Allg. Angew. Entomol, 17, 159-162."
243,"Wegensteiner, R., 2000. Laboratory evaluation of Beauveria bassiana (Bals.) Vuill. and Beauveria brongniartii (Sacc.) Petch against the four eyed spruce bark beetle, Polygraphus poligraphus (L.) (Coleopetra, Scolytidae). IOBC/wprs Bull 23, 161–166."
244,"Wegensteiner, R., Dedryver, C.-A., Pierre, J.-S., 2010. The comparative prevalence and demographic impact of two pathogens in swarming Ips typographus adults: a quantitative analysis of long term trapping data. Agric. For. Entomol. 12, 49–57."
245,"Wegensteiner, R., Epper, C., Wermelinger, B., 2007b. Untersuchungen über das Auftreten und die Dynamik von Pathogenen bei Ips typographus (Coleoptera, Scolytinae) in Befallsherden unter besonderer Berücksichtigung von Protozoen. Mitt. Schweiz. Entomol. Ges. 80, 79–90."
246,"Wegensteiner, R., Lukášová, K., Vanická, H., Zimová, S., Kacprzyk, M., & Holuša, J. (2016). Extremely low infection levels of pathogens and nematodes in Trypodendron spp.(Coleoptera: Curculionidae). Central European Forestry Journal, 62(4), 202-206."
247,"Wegensteiner, R., Stradner, A., & Händel, U. (2014). Occurrence of pathogens in Ips typographus (Coleoptera: Curculionidae) and in other spruce bark beetles from the wilderness reserve Dürrenstein (Lower Austria). Biologia, 69(1), 92-100."
248,"Wegensteiner, R., Tkaczuk, C., Bałazy, S., Griesser, S., Rouffaud, M. A., Stradner, A., ... & Papierok, B. (2015). Occurrence of pathogens in populations of Ips typographus, Ips sexdentatus (Coleoptera, Curculionidae, Scolytinae) and Hylobius spp.(Coleoptera, Curculionidae, Curculioninae) from Austria, Poland and France. Acta Protozoologica, 54(3)."
249,"Wegensteiner, R., Weiser, J., 2004. Annual variation of pathogen occurrence and pathogen prevalence in Ips typographus (Coleoptera, Scolytidae) from the BOKU University Forest Demonstration Centre. J. Pest Sci. 77, 221–228."
250,"Wegensteiner,R., Pernek,M.,Weiser, J., 2007a. Occurrence of Gregarina typographi (Sporozoa, Gregarinidae) and of Metschnikowia typographi (Ascomycota, Metschnikowiaceae) in Ips sexdentatus (Coleoptera, Scolytidae) from Austria. IOBC/wprsBull. 30, 217–220."
251,"Weiser, J. (1954). Beitrag zur Kenntnis der Parasiten des Borkenkäfers Ips typographus I. Věstník Československé Společnosti Zoologické, 18, 179-212."
252,"Weiser, J. (1955). Beitrag zur Kenntnis der Parasiten des Borkenkäfers Ips typographus II. Věstník Československé Společnosti Zoologické, 19, 374-380."
253,"Weiser, J. (1961). A new microsporidian from the bark beetle Pityokteines curvidens Germar (Coleoptera, Scolytidae) in Czechoslovakia."
254,"Weiser, J. (1970). Three new pathogens of the Douglas fir beetle, Dendroctonus pseudotsugae: Nosema dendroctoni n. sp., Ophryocystic dendroctoni n. sp., and Chytridiopsis typographi n. comb. Journal of Invertebrate Pathology, 16(3), 436-441."
255,"Weiser, J., 1968. Plistophora scolyti sp.n. (Protozoa, Microsporidia) a new parasite of Scolytus scolytus F. (Col., Scolytidae). Folia Parasitol. 15, 11–14."
256,"Weiser, J., Holuša, J., & Žižka, Z. (2006). Larssoniella duplicati n. sp.(Microsporidia, Unikaryonidae), a newly described pathogen infecting the double-spined spruce bark beetle, Ips duplicatus (Coleoptera, Scolytidae) in the Czech Republic. Journal of Pest Science, 79(3), 127-135."
257,"Weiser, J., Händel, U., Wegensteiner, R., & Zizka, Z. (2002). Unikaryon polygraphi sp. n.(Protista, Microspora): a new pathogen of the four‐eyed spruce bark beetle Polygraphus poligraphus (Col., Scolytidae). Journal of Applied Entomology, 126(2‐3), 148-154."
258,"Weiser, J., Wegensteiner, R., & Žižka, Z. (1997). Ultrastructures of Nosema typographi Weiser 1955 (Microspora: Nosematidae) of the Bark Beetle Ips typographusL.(Coleoptera; Scolytidae). Journal of invertebrate pathology, 70(2), 156-160."
259,"Weiser, J., Wegensteiner, R., & Žižka, Z. (1998). Unikaryon montanum sp. n.(Protista: Microspora), a new pathogen of the spruce bark beetle, Ips typographus (Coleoptera: Scolytidae). Folia Parasitologica, 45(3), 191-195."
260,"Weiser, J., Wegensteiner, R., 1994. A new entomopoxvirus in the bark beetle Ips typographus (Coleoptera, Scolytidae) in Czechoslovakia. Z. Angew. Zool. 80, 425–434."
